post_id,creator_handle,creator_category,followers_at_post,post_date,post_hour,content_format,video_length_sec,hashtag_count,views,likes,comments,shares,avg_watch_time_sec,completion_rate_pct
TT0001,anaedits,beauty,41937,2025-09-03,19,listicle,24,4,25744,1187,55,138,14.3,55.1
TT0002,anaedits,beauty,42996,2025-09-04,11,tutorial,34,4,30016,1660,46,214,20.4,62.1
TT0003,anaedits,beauty,42858,2025-09-06,18,review,33,1,22587,1456,78,122,24.0,76.7
TT0004,anaedits,beauty,43480,2025-09-13,19,tutorial,25,2,59375,4540,108,751,17.4,71.7
TT0005,anaedits,beauty,44126,2025-09-19,19,listicle,33,4,73236,4824,147,682,29.4,81.1
TT0006,anaedits,beauty,45390,2025-09-20,20,listicle,35,2,32769,1841,94,216,24.5,68.1
TT0007,anaedits,beauty,46012,2025-09-22,19,vlog,22,1,12006,948,63,116,15.3,75.7
TT0008,anaedits,beauty,46387,2025-09-28,19,tutorial,34,3,40053,2085,150,143,18.9,61.6
TT0009,anaedits,beauty,46484,2025-09-30,21,review,44,4,10369,625,42,64,30.8,76.1
TT0010,anaedits,beauty,47621,2025-10-05,0,tutorial,38,3,10394,872,59,63,30.9,86.5
TT0011,anaedits,beauty,48023,2025-10-06,17,tutorial,37,6,19858,1315,29,128,31.0,76.4
TT0012,anaedits,beauty,48165,2025-10-07,2,before_after,11,2,65922,5290,463,763,9.6,84.9
TT0013,anaedits,beauty,48761,2025-10-13,2,tutorial,24,4,29015,1763,85,187,12.3,56.1
TT0014,anaedits,beauty,50745,2025-10-23,20,tutorial,26,2,35313,1745,133,155,18.3,77.4
TT0015,anaedits,beauty,50543,2025-10-25,19,listicle,36,6,23776,1011,45,119,20.2,60.3
TT0016,anaedits,beauty,51118,2025-10-26,18,before_after,17,3,49874,4527,476,378,14.8,92.0
TT0017,anaedits,beauty,51289,2025-10-29,18,tutorial,33,4,53637,3296,254,351,23.6,73.9
TT0018,anaedits,beauty,53210,2025-10-30,20,before_after,27,3,20832,1915,46,328,22.3,76.0
TT0019,anaedits,beauty,52946,2025-11-03,9,listicle,36,3,24602,1417,42,259,18.7,55.2
TT0020,anaedits,beauty,54274,2025-11-09,19,tutorial,24,6,54382,3559,84,554,16.9,72.6
TT0021,bytewithben,gaming,211174,2025-09-01,20,duet,30,5,152444,7767,949,647,23.1,70.7
TT0022,bytewithben,gaming,210456,2025-09-02,20,duet,23,4,133660,5815,374,856,20.3,85.1
TT0023,bytewithben,gaming,215035,2025-09-03,12,storytime,29,3,148973,7219,821,1162,16.9,63.6
TT0024,bytewithben,gaming,217794,2025-09-06,21,challenge,31,4,117039,6924,476,698,17.4,61.1
TT0025,bytewithben,gaming,212687,2025-09-08,22,listicle,21,7,145619,7632,881,1200,11.6,58.1
TT0026,bytewithben,gaming,214804,2025-09-11,17,storytime,22,0,130231,8210,534,462,19.1,79.2
TT0027,bytewithben,gaming,216556,2025-09-15,4,challenge,38,3,78352,4411,355,702,25.7,71.2
TT0028,bytewithben,gaming,210332,2025-09-18,17,challenge,35,4,76488,5240,608,1091,25.1,70.9
TT0029,bytewithben,gaming,217817,2025-09-26,21,listicle,29,1,131636,8007,973,1085,23.1,80.5
TT0030,bytewithben,gaming,221879,2025-09-29,3,review,40,5,39720,2506,255,129,23.9,56.7
TT0031,bytewithben,gaming,216342,2025-10-02,22,duet,40,2,253148,12746,1226,1940,31.2,75.0
TT0032,bytewithben,gaming,223294,2025-10-04,20,duet,19,3,151223,8176,443,848,14.6,76.1
TT0033,bytewithben,gaming,223003,2025-10-08,22,review,30,4,93111,3902,316,741,19.3,61.4
TT0034,bytewithben,gaming,222866,2025-10-09,13,listicle,14,5,47840,1791,179,221,11.1,75.2
TT0035,bytewithben,gaming,227771,2025-10-12,20,storytime,33,3,92865,5847,694,1149,25.2,73.7
TT0036,bytewithben,gaming,225438,2025-10-20,19,review,50,5,32104,1632,109,148,20.9,41.2
TT0037,bytewithben,gaming,226652,2025-10-28,23,listicle,28,5,157261,8225,914,1416,16.5,65.3
TT0038,bytewithben,gaming,224878,2025-11-04,4,review,58,2,26867,1208,120,73,22.8,40.0
TT0039,bytewithben,gaming,227244,2025-11-05,23,listicle,34,4,140481,5558,619,1070,18.1,57.3
TT0040,bytewithben,gaming,229208,2025-11-07,22,review,57,3,144591,6736,579,697,29.0,54.3
TT0041,camcooks,food,95026,2025-09-09,13,vlog,30,5,26964,1505,35,191,22.3,68.2
TT0042,camcooks,food,95716,2025-09-10,10,tutorial,28,3,40795,2546,249,444,21.1,72.5
TT0043,camcooks,food,98457,2025-09-11,21,tutorial,27,2,34798,2470,65,293,15.7,62.0
TT0044,camcooks,food,99242,2025-09-12,10,review,32,2,34699,1149,68,104,20.8,66.2
TT0045,camcooks,food,98705,2025-09-13,11,tutorial,34,3,66172,4736,149,444,25.3,73.3
TT0046,camcooks,food,102303,2025-09-16,19,tutorial,32,3,101778,4830,463,483,18.9,62.7
TT0047,camcooks,food,98311,2025-09-21,13,tutorial,40,2,36730,2319,231,169,24.3,56.7
TT0048,camcooks,food,102690,2025-09-22,19,review,48,4,32726,1770,130,120,19.9,45.8
TT0049,camcooks,food,102545,2025-09-28,23,vlog,29,0,107516,6691,574,1030,15.3,57.4
TT0050,camcooks,food,103961,2025-10-01,18,review,43,3,90644,4796,332,451,28.3,61.6
TT0051,camcooks,food,104874,2025-10-04,22,review,30,2,72542,3542,167,298,20.9,77.1
TT0052,camcooks,food,104464,2025-10-06,18,tutorial,32,1,79229,4981,515,825,23.6,73.0
TT0053,camcooks,food,105706,2025-10-13,20,review,42,4,32618,1478,103,91,14.4,37.7
TT0054,camcooks,food,106183,2025-10-16,12,listicle,25,5,104877,6149,146,984,13.9,55.7
TT0055,camcooks,food,108598,2025-10-19,11,vlog,26,2,76036,6577,305,370,17.4,73.2
TT0056,camcooks,food,110049,2025-10-21,12,before_after,28,0,57280,4884,308,685,22.7,88.3
TT0057,camcooks,food,111322,2025-10-22,12,tutorial,36,5,81537,5690,276,256,24.7,75.3
TT0058,camcooks,food,111857,2025-10-25,13,vlog,27,3,61535,4508,212,480,21.0,72.6
TT0059,camcooks,food,112077,2025-10-27,12,tutorial,29,5,123299,4924,116,660,16.3,61.4
TT0060,camcooks,food,113715,2025-11-03,19,review,45,3,90910,4669,246,850,32.8,67.1
TT0061,devonmoves,fitness,65110,2025-09-16,2,storytime,31,2,38888,2907,209,274,17.9,57.2
TT0062,devonmoves,fitness,66099,2025-09-17,17,challenge,46,1,22896,1885,65,310,21.3,48.7
TT0063,devonmoves,fitness,64230,2025-09-23,8,challenge,31,6,65758,3926,287,705,16.7,53.3
TT0064,devonmoves,fitness,67502,2025-09-26,20,vlog,37,5,28340,1823,126,153,28.9,74.3
TT0065,devonmoves,fitness,68256,2025-09-28,17,storytime,35,4,26255,1557,103,242,20.0,52.1
TT0066,devonmoves,fitness,68904,2025-10-01,8,vlog,28,1,30444,1829,155,242,18.1,61.4
TT0067,devonmoves,fitness,69025,2025-10-02,7,tutorial,31,6,49772,2718,132,383,19.2,60.8
TT0068,devonmoves,fitness,70149,2025-10-03,2,tutorial,22,1,13810,864,82,127,15.5,66.4
TT0069,devonmoves,fitness,70824,2025-10-05,15,before_after,14,2,107591,7746,400,894,12.7,93.9
TT0070,devonmoves,fitness,72042,2025-10-06,17,before_after,37,3,97850,6905,180,666,23.0,61.8
TT0071,devonmoves,fitness,71534,2025-10-10,7,tutorial,36,1,36370,2152,111,365,27.6,75.4
TT0072,devonmoves,fitness,73421,2025-10-11,10,storytime,31,4,25117,1390,42,141,22.0,67.3
TT0073,devonmoves,fitness,74931,2025-10-14,6,storytime,39,2,32694,1739,132,243,24.2,63.8
TT0074,devonmoves,fitness,74379,2025-10-17,16,before_after,20,6,69208,5640,464,625,17.2,80.2
TT0075,devonmoves,fitness,75317,2025-10-21,6,vlog,42,6,44305,3648,81,329,24.8,57.9
TT0076,devonmoves,fitness,76563,2025-10-22,17,before_after,27,4,37536,2441,115,153,16.0,59.5
TT0077,devonmoves,fitness,76719,2025-10-25,23,storytime,34,0,37170,2353,244,249,17.8,53.9
TT0078,devonmoves,fitness,76622,2025-10-28,6,challenge,33,5,50679,3536,189,547,18.7,55.2
TT0079,devonmoves,fitness,77357,2025-11-01,14,before_after,23,5,54708,3932,206,544,21.8,91.7
TT0080,devonmoves,fitness,79187,2025-11-05,7,before_after,23,1,52130,3196,284,317,16.2,77.0
TT0081,ellastudies,studytok,25218,2025-09-03,9,listicle,35,4,21083,962,89,165,22.5,61.0
TT0082,ellastudies,studytok,25195,2025-09-04,17,vlog,39,3,21170,1390,150,141,27.0,64.5
TT0083,ellastudies,studytok,25435,2025-09-13,17,listicle,22,3,10540,481,24,88,18.1,76.8
TT0084,ellastudies,studytok,25499,2025-09-16,15,challenge,54,6,11724,688,75,136,37.5,70.2
TT0085,ellastudies,studytok,26060,2025-09-17,1,vlog,32,2,6887,216,24,42,18.8,60.8
TT0086,ellastudies,studytok,25513,2025-09-19,10,tutorial,36,3,10003,511,29,40,24.4,62.5
TT0087,ellastudies,studytok,25654,2025-09-22,17,challenge,33,3,21936,1438,75,212,23.7,73.0
TT0088,ellastudies,studytok,25330,2025-09-23,17,listicle,34,4,24701,1369,120,205,23.6,76.3
TT0089,ellastudies,studytok,25373,2025-09-25,16,tutorial,26,1,21195,981,87,84,17.0,61.8
